trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
192,False,"{'a': 0.5, 'e': 0.011675920696029898}",30,13,28.58667259734263,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.0112460486691281}",20,5,21.30186485811648,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.010824688678667271}",30,17,-17.374499626467603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.01041167217503302}",25,14,19.655018988526145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.010006833946116931}",30,15,23.02170006847524,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.0096100120512295252}",35,17,31.835850075563744,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.0092210477563218173}",20,9,21.6330478603026,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.0088397854704895841}",25,18,13.356640350368806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.0084660726837349279}",25,8,31.95477949563523,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.0080997599059602441}",20,2,30.23033386116168,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.0077407006071701871}",35,12,45.11820992539462,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.0073887511588577193}",25,12,26.968308232345468,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.0070437707765507937}",25,0,43.49136376276432,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.0067056214634966882}",25,15,17.260844393010046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.0063741679554614634}",25,13,22.811887892513912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.006049277666622466}",30,18,18.995562216492768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.0057308206365322325}",25,17,12.630803157359445,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.0054186694781325762}",30,17,25.850494976388756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.0051126993267980661}",35,18,31.02577274061588,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.0048127877903885122}",30,20,22.35672822666782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.0045188149002904762}",20,6,23.63830812811565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.0042306630634282288}",20,8,22.45228940250133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.0039482170152249493}",30,13,31.07637040723591,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.0036713637734953593}",20,14,11.028575874542302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.0033999925932513405}",25,16,17.259700095913004,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.0031339949224024654}",25,14,16.682133227580273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.0028732643583337107}",25,13,19.202234033455646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.0026176966053429954}",25,0,42.51735318354155,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.0023671894329215077}",20,8,20.042833830608785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.0021216426348601388}",25,16,18.829950700066895,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.0018809579891656634}",25,16,15.54785480526681,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.0016450392187706321}",20,13,12.878122725994116,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.0014137919530212615}",20,9,22.175264623859572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.0011871236899279138}",30,17,24.64208702784119,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.0009649437591630677}",30,16,28.252781105218702,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,5,26.731327901287596,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,10,24.133706713124518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,8,40.23014637849106,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,10,20.60994803494526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,4,36.71125724650864,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,8,20.721131953026266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,10,28.4800877046343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,7,19.933555407424116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,18.552331999359147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,28.984194856752463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
